PARENT_COMPANY|STANDARD_COMPANY_NAME
1804 LTD|1804
31 GROUP LLC|31 GROUP
31 Group LLC|31 GROUP
ABRAXAS PETROLEUM CORP|ABRAXAS PETROLEUM
AETHON ENERGY|AETHON ENERGY
AGAVE ENERGY HOLDINGS|AGAVE ENERGY HOLDINGS
AGL RESOURCES INC|AGL RESOURCES
AKA ENERGY GROUP LLC|AKA ENERGY GROUP
AKA ENERGY GROUP, LLC|AKA ENERGY GROUP
AKIN BEENE RESOURCES LLC|AKIN BEENE RESOURCES
ALL AMERICAN OIL & GAS INC|ALL AMERICAN OIL AND GAS
ALTA MESA SERVICES LP|ALTA MESA SERVICES
AMERICAN EAGLE ENERGY CORP|AMERICAN EAGLE ENERGY
AMERICAN ENERGY PARTNERS LP|AMERICAN ENERGY PARTNERS
AMERICAN MIDSTREAM GP, LLC|AMERICAN MIDSTREAM PARTNERS
AMERICAN MIDSTREAM PARTNERS LP|AMERICAN MIDSTREAM PARTNERS
ANADARKO PETROLEUM CORP|ANADARKO PETROLEUM
ANADARKO PETROLEUM CORPORATION|ANADARKO PETROLEUM
ANADARKO US OFFSHORE CORP|ANADARKO PETROLEUM
ANDEAVOR|ANDEAVOR
ANDERSON ENERGY INC|ANDERSON ENERGY
ANKOR ENERGY LLC|ANKOR ENERGY
ANKOR Energy, LLC|ANKOR ENERGY
ANR PIPELINE CO|ANR PIPELINE
ANR Pipeline CO|ANR PIPELINE
ANR Pipeline Company|ANR PIPELINE
ANSCHUTZ EXPLORATION CORP|ANSCHUTZ EXPLORATION
ANTERO RESOURCES CORP|ANTERO RESOURCES
APACHE CORP|APACHE
APACHE CORPORATION|APACHE
APPROACH RESOURCES INC|APPROACH RESOURCES
ARD OPERATING LLC|ARD OPERATING
ARENA ENERGY LLC|ARENA ENERGY
ARENA OFFSHORE LP|ARENA ENERGY
ARIEL EXPLORATION INC|ARIEL EXPLORATION
ARP RANGELY PRODUCTION LLC|ARP RANGELY PRODUCTION
ARROWHEAD PIPELINE, LP|ARROWHEAD PIPELINE
ARSENAL RESOURCES LLC|ARSENAL RESOURCES
ARUBA PETROLEUM INC|ARUBA PETROLEUM
ASCENT RESOURCES LLC|ASCENT RESOURCES
ASRCEX|ASRCEX
ATLAS ENERGY GROUP LLC|ATLAS ENERGY GROUP
ATLAS PIPELINE PARTNERS, LP|ATLAS ENERGY GROUP
ATLAS RESOURCE PARTNERS LP|ATLAS ENERGY GROUP
ATMOS ENERGY CORP|ATMOS ENERGY
ATP OIL & GAS CORP|ATP OIL & GAS
AUGUSTUS ENERGY RESOURCES LLC|AUGUSTUS ENERGY RESOURCES
AUSTRALIS TMS INC|AUSTRALIS TMS
AUX SABLE|AUX SABLE
AUX SABLE LIQUID PRODUCTS|AUX SABLE
AZURE MIDSTREAM ENERGY LLC|AZURE MIDSTREAM ENERGY
Abraxas Petroleum Corp|ABRAXAS PETROLEUM
Acadian Gas Pipeline System|ACADIAN GAS PIPELINE SYSTEM
Access Midstream Partners LP|ACCESS MIDSTREAM PARTNERS
Access Midstream Partners, L.P.|ACCESS MIDSTREAM PARTNERS
Agave Energy Holdings|AGAVE ENERGY HOLDINGS
Aircraft Services Corporation (GE entity)|AIRCRAFT SERVICES CORPORATION (GE ENTITY)
Algonquin Gas Transmission, LLC|ALGONQUIN GAS TRANSMISSION
All American Oil and Gas, Inc.|ALL AMERICAN OIL AND GAS
Alliance Petroleum CORP|ALLIANCE PETROLEUM
Alpha Natural Resources, Inc.|ALPHA NATURAL RESOURCES
Alta Mesa Services, LP|ALTA MESA SERVICES
American Eagle Energy|AMERICAN EAGLE ENERGY
American Energy Partners LP|AMERICAN ENERGY PARTNERS
American Midstream Partners, LP|AMERICAN MIDSTREAM PARTNERS
Amplify Energy Corp|AMPLIFY ENERGY
Anadarko Petroleum Corporation|ANADARKO PETROLEUM
Anadarko US Offshore Corporation|ANADARKO PETROLEUM
Andeavor (FMA Tesoro Corp)|ANDEAVOR
Andeavor Refining|ANDEAVOR
Anderson Energy, Inc.|ANDERSON ENERGY
Antero Midstream Partners LP|ANTERO RESOURCES
Antero Resources Appalachian Corp|ANTERO RESOURCES
Antero Resources CORPORATION|ANTERO RESOURCES
Antero Resources Corp|ANTERO RESOURCES
Antero Resources Corporation|ANTERO RESOURCES
Antero Resources Piceance Corp|ANTERO RESOURCES
Apache Corporation|APACHE
Approach Resources, INC|APPROACH RESOURCES
Arena Energy, LLC|ARENA ENERGY
Arena Entergy, LLC|ARENA ENERGY
Ariel Exploration Inc|ARIEL EXPLORATION
Aruba Petroleum, Inc.|ARUBA PETROLEUM
Ascent Resources, LLC|ASCENT RESOURCES
Atlas Energy, LP|ATLAS ENERGY GROUP
Atlas Resource Partners, L.P.|ATLAS ENERGY GROUP
Atlas Resources Partners, L.P.|ATLAS ENERGY GROUP
Augustus Energy Partners, LLC|AUGUSTUS ENERGY RESOURCES
Augustus Energy Resources LLC|AUGUSTUS ENERGY RESOURCES
Aux Sable Midstream LLC|AUX SABLE
Axia Energy II, LLC|AXIA ENERGY II
Azure Midstream Energy, LLC|AZURE MIDSTREAM ENERGY
BADLANDS ENERGY INC|BADLANDS ENERGY
BAYSWATER EXPLORATION & PRODUCTION LLC|BAYSWATER EXPLORATION & PRODUCTION
BBX OPERATING LLC|BBX OPERATING
BBX OPERATING, LLC|BBX OPERATING
BC Operating INC|BC OPERATING
BCE-Mach LLC|BCE-MACH
BENNU OIL & GAS LLC|BENNU OIL & GAS
BEPCO LP|BEPCO
BERKSHIRE HATHAWAY|BERKSHIRE HATHAWAY
BERKSHIRE HATHAWAY INC|BERKSHIRE HATHAWAY
BERRY PETROLEUM CO|BERRY PETROLEUM
BHP BILLITON|BHP BILLITON
BHP BILLITON PETROLEUM (DEEPWATER) INC.|BHP BILLITON
BHP Billiton Petroleum (North America) Inc.|BHP BILLITON
BHP Billiton Petroleum Holding LLC|BHP BILLITON
BHP Billiton Petroleum Holdings (USA) Inc.|BHP BILLITON
BHP Billiton Petroleum Holdings LLC|BHP BILLITON
BILL BARRETT CORP|BILL BARRETT
BKV OPERATING LLC|BKV OPERATING
BKV Operating LLC|BKV OPERATING
BLACK BEAR MIDSTREAM HOLDINGS LLC|BLACK BEAR MIDSTREAM HOLDINGS
BLACK HILLS CORP|BLACK HILLS
BLACK HILLS CORPORATION|BLACK HILLS
BLACKBEARD OPERATING LLC|BLACKBEARD OPERATING
BLACKBRUSH O & G LLC|BLACKBRUSH O & G
BLUE RACER MIDSTREAM LLC|BLUE RACER MIDSTREAM
BLUE RACER MIDSTREAM, LLC|BLUE RACER MIDSTREAM
BLUECREST ENERGY INC|BLUECREST ENERGY
BLUESTONE NATURAL RESOURCES LLC|BLUESTONE NATURAL RESOURCES
BOC 220 GULF COAST BASIN ONSHORE|BOC 220 GULF COAST BASIN ONSHORE
BOC 220 Gulf Coast Basin Onshore|BOC 220 GULF COAST BASIN ONSHORE
BONANZA CREEK ENERGY INC|BONANZA CREEK ENERGY
BONANZA CREEK ENERGY, INC|BONANZA CREEK ENERGY
BOPCO LP|BOPCO
BOPCO, LP|BOPCO
BP AMERICA INC|BP AMERICA
