REPORTING_YEAR|Value|Key
2011|7008380.5|Production
2012|7497704.666666666|Production
2013|7770173.333333333|Production
2014|8546692.666666668|Production
2015|9032805.5|Production
2016|8762416.0|Production
2017|9050747.0|Production
2018|10283342.833333332|Production
2019|11327953.166666668|Production
2011|97431341.36999999|Emission
2012|98987226.266|Emission
2013|104157368.26399998|Emission
2014|107964856.651|Emission
2015|108151545.46809995|Emission
2016|91982341.93759997|Emission
2017|99592678.34490004|Emission
2018|115176450.39219998|Emission
