RANK|STANDARD_COMPANY_NAME|SECTOR|GHG_CONTRIBUTION
1|EXXONMOBIL|Midstream|66370217.22661919
2|WILLIAMS|Midstream|65691032.47999998
3|KINDER MORGAN|Midstream|63478463.6546
4|ENERGY TRANSFER PARTNERS|Midstream|62582675.6
5|CONOCOPHILLIPS|Upstream|54862979.84419999
6|ENTERPRISE PRODUCTS PARTNERS|Midstream|53386631.90309999
7|EXXONMOBIL|Upstream|41239495.46818001
8|CHESAPEAKE ENERGY|Upstream|33190107.0
9|EOG RESOURCES|Upstream|31037909.0
10|DCP MIDSTREAM|Midstream|28958042.630700007
11|BP AMERICA|Midstream|28755010.550399996
12|TARGA RESOURCES|Midstream|27810027.617575
13|BP AMERICA|Upstream|24943179.723099995
14|CONOCOPHILLIPS|Midstream|24827419.53769649
15|DEVON ENERGY|Upstream|23130322.984199997
16|ANADARKO PETROLEUM|Upstream|22331244.3424
17|ANADARKO PETROLEUM|Midstream|20579699.35
18|CHEVRON|Midstream|17537527.51207435
19|MARATHON OIL|Upstream|17423061.721
20|HILCORP ENERGY|Upstream|16738942.702000003
21|SPECTRA ENERGY|Midstream|16496452.178162498
22|ENABLE MIDSTREAM PARTNERS|Midstream|15841591.086000001
23|LOEWS|Midstream|15839193.0
24|ENERVEST OPERATING|Upstream|15655013.0
25|ONEOK|Midstream|15181180.8
26|ENBRIDGE|Midstream|14305589.0
27|LINN ENERGY|Upstream|13409558.0
28|BHP BILLITON|Upstream|12947511.007499997
29|CONTINENTAL RESOURCES|Upstream|12816016.0
30|APACHE|Upstream|12601590.702397298
31|WHITING OIL AND GAS|Upstream|12297972.3518
32|SHELL OIL|Upstream|12250839.208
33|CHEVRON|Upstream|12109032.388564004
34|MPLX|Midstream|11775290.0
35|QEP RESOURCES|Upstream|11717886.0
36|SANDRIDGE ENERGY|Upstream|11563921.0
37|HESS|Upstream|11440719.0
38|ENLINK MIDSTREAM|Midstream|11402728.0
39|PHILLIPS 66|Midstream|10966401.322237499
40|OCCIDENTAL PETROLEUM|Midstream|10849380.600887999
41|CIMAREX ENERGY|Upstream|10571362.0
42|CHENIERE ENERGY|Midstream|9902848.0
43|ENCANA OIL & GAS (USA)|Upstream|9645565.0
44|WPX ENERGY|Upstream|9469520.0
45|SOUTHWESTERN ENERGY|Upstream|9356323.0
46|VAL VERDE GAS GATHERING CO|Midstream|9218104.0
47|OCCIDENTAL PETROLEUM|Upstream|8522239.0
48|SAMSON RESOURCES|Upstream|8188644.0
49|OASIS PETROLEUM|Upstream|7879602.0
50|DOMINION ENERGY|Midstream|7807667.5
51|NEWFIELD EXPLORATION|Upstream|7645640.0
52|REGENCY ENERGY PARTNERS|Midstream|7562153.469000001
53|CALIFORNIA RESOURCES|Midstream|7446905.0
54|EOG RESOURCES|Midstream|7170076.0
55|CONCHO RESOURCES|Upstream|7018515.0
56|MID-AMERICAN ENERGY HOLDINGS|Midstream|6943058.0
57|BERRY PETROLEUM|Upstream|6853847.0
58|PIONEER NATURAL RESOURCES USA|Upstream|6663686.1
59|ANR PIPELINE|Midstream|6627704.0
60|HILCORP ENERGY|Midstream|6611026.044540002
61|NOBLE ENERGY|Upstream|6442848.0
62|PIONEER NATURAL RESOURCES USA|Midstream|6375123.569999999
63|SHELL OIL|Midstream|6220570.202000001
64|TRANSCANADA NORTHERN BORDER|Midstream|6185272.0
65|CENTERPOINT ENERGY RESOURCES|Midstream|6157743.5
66|PDC ENERGY|Upstream|5980457.0
67|STEPHENS PRODUCTION|Upstream|5904439.0
68|HESS|Midstream|5871367.2662
69|WTG|Midstream|5860489.0
70|STATOIL|Upstream|5634979.441
71|EQT|Upstream|5569352.0
72|HALCON RESOURCES|Upstream|5490438.0
73|NORTHERN NATURAL GAS|Midstream|5384160.0
74|CRESTWOOD MIDSTREAM PARTNERS|Midstream|5247104.5
75|PIPECO|Midstream|5234774.0
76|CABOT|Upstream|5216953.0
77|BOPCO|Upstream|5075809.0
78|SM ENERGY|Upstream|4994778.0
79|TC PIPELINES|Midstream|4891276.0
80|LEWIS ENERGY GROUP|Upstream|4648347.0
81|PETRO-HUNT|Upstream|4610555.0
82|FIELDWOOD ENERGY|Upstream|4588120.6326533
83|LOEWS|Upstream|4494402.0
84|DEVON ENERGY|Midstream|4381665.598599998
85|MARKWEST ENERGY PARTNERS|Midstream|4152235.2
86|PENN VIRGINIA|Upstream|4080618.0
87|EP ENERGY E&P CO|Upstream|3998190.0
88|MARATHON OIL|Midstream|3921164.6399999987
89|ANTERO RESOURCES|Upstream|3883702.0
90|CROSSTEX ENERGY SERVICES|Midstream|3868853.0
91|MURPHY OIL|Upstream|3798270.625
92|TEXAS EASTERN TRANSMISSION|Midstream|3629553.0
93|EP ENERGY E&P CO|Midstream|3609064.0
94|EXCO RESOURCES|Upstream|3576052.0
95|BILL BARRETT|Upstream|3540943.0
96|ATLAS ENERGY GROUP|Upstream|3478964.0
97|HARVEST PIPELINE|Midstream|3397525.5
98|DIAMONDBACK ENERGY|Upstream|3145314.0
99|CARRIZO OIL & GAS|Upstream|3129009.0
100|EQT|Midstream|3118982.0
101|FOURPOINT ENERGY|Upstream|3076481.0
102|ENERGEN|Upstream|3060597.0
103|TRANSCANADA ENERGY USA|Midstream|3007719.2500000005
104|ENERPLUS RESOURCES|Upstream|2991569.0
105|NISOURCE|Midstream|2932350.75
106|ENI PETROLEUM|Upstream|2866401.125
107|CHAPARRAL ENERGY|Upstream|2832744.0
108|ROCKIES EXPRESS HOLDINGS|Midstream|2821546.75
109|BREITBURN ENERGY CO|Upstream|2810766.0
110|SOUTHCROSS ENERGY|Midstream|2807769.0
111|DENBURY RESOURCES|Upstream|2751162.0
112|SABINE OIL AND GAS|Upstream|2744050.0
113|ENDEAVOR ENERGY RESOURCES|Upstream|2712940.0
114|CNX RESOURCES|Upstream|2693657.0
115|TERRA ENERGY PARTNERS|Upstream|2647695.0
