Industry Sector|Year|Emission
Fossil fuel combustion: carbon dioxide|1990|814.0864616
Natural gas and petroleum systems|1990|280.7110998
Other industrial categories|1990|106.29502
Chemical production and use|1990|71.87808127
Coal mining|1990|103.68643730000001
Mineral products|1990|51.29921615
Metal production|1990|138.4475446
Production and use of fluorinated gases|1990|49.67791712
Fossil fuel combustion: other greenhouse gases|1990|12.47393199
Fossil fuel combustion: carbon dioxide|1991|797.1306659
Natural gas and petroleum systems|1991|282.4873699
Other industrial categories|1991|115.57773610000001
Chemical production and use|1991|72.59824661
Coal mining|1991|100.5040518
Mineral products|1991|49.98292372
Metal production|1991|125.48958710000001
Production and use of fluorinated gases|1991|45.01059466
Fossil fuel combustion: other greenhouse gases|1991|12.30639303
Fossil fuel combustion: carbon dioxide|1992|828.1444652
Natural gas and petroleum systems|1992|279.2800965
Other industrial categories|1992|114.79269520000001
Chemical production and use|1992|72.78804987
Coal mining|1992|98.57027171
Mineral products|1992|50.72022172
Metal production|1992|125.14489809999999
Production and use of fluorinated gases|1992|49.64416931
Fossil fuel combustion: other greenhouse gases|1992|12.46490106
Fossil fuel combustion: carbon dioxide|1993|830.1593355
Natural gas and petroleum systems|1993|277.8025987
Other industrial categories|1993|104.9019037
Chemical production and use|1993|75.00128302
Coal mining|1993|85.46088466
Mineral products|1993|52.77097065
Metal production|1993|120.0050953
Production and use of fluorinated gases|1993|46.42217805
Fossil fuel combustion: other greenhouse gases|1993|12.36501901
Fossil fuel combustion: carbon dioxide|1994|839.2226327
Natural gas and petroleum systems|1994|277.20246000000003
Other industrial categories|1994|114.7448121
Chemical production and use|1994|78.43066547
Coal mining|1994|87.27795505
Mineral products|1994|55.02098306
Metal production|1994|120.31240120000001
Production and use of fluorinated gases|1994|44.95559365
Fossil fuel combustion: other greenhouse gases|1994|12.61775319
Fossil fuel combustion: carbon dioxide|1995|851.8217775
Natural gas and petroleum systems|1995|267.869868
Other industrial categories|1995|115.38530929999999
Chemical production and use|1995|82.75730959999999
Coal mining|1995|86.20413027
Mineral products|1995|57.81890589
Metal production|1995|124.0601446
Production and use of fluorinated gases|1995|49.30580662
Fossil fuel combustion: other greenhouse gases|1995|12.73788209
Fossil fuel combustion: carbon dioxide|1996|887.3781903999999
Natural gas and petroleum systems|1996|263.3774
Other industrial categories|1996|109.1719007
Chemical production and use|1996|84.2186363
Coal mining|1996|86.046351
Mineral products|1996|58.901731299999994
Metal production|1996|124.2363585
Production and use of fluorinated gases|1996|49.24352763
Fossil fuel combustion: other greenhouse gases|1996|12.86274761
Fossil fuel combustion: carbon dioxide|1997|884.4004387
Natural gas and petroleum systems|1997|262.56724269999995
Other industrial categories|1997|116.73810590000001
Chemical production and use|1997|79.15642482
Coal mining|1997|84.42657399
Mineral products|1997|60.22425178
Metal production|1997|123.6212019
Production and use of fluorinated gases|1997|48.93266602
Fossil fuel combustion: other greenhouse gases|1997|12.95356035
Fossil fuel combustion: carbon dioxide|1998|848.3431802000001
Natural gas and petroleum systems|1998|253.8948457
Other industrial categories|1998|133.3603414
Chemical production and use|1998|76.08419501
Coal mining|1998|83.9581952
Mineral products|1998|61.445391799999996
Metal production|1998|114.18437379999999
Production and use of fluorinated gases|1998|62.76585814
Fossil fuel combustion: other greenhouse gases|1998|12.58724949
Fossil fuel combustion: carbon dioxide|1999|816.4961525
Natural gas and petroleum systems|1999|251.08547420000002
Other industrial categories|1999|139.5035454
Chemical production and use|1999|75.02860439
Coal mining|1999|79.51183775
Mineral products|1999|62.01208275
Metal production|1999|111.3460965
Production and use of fluorinated gases|1999|51.80433477
Fossil fuel combustion: other greenhouse gases|1999|12.41656252
Fossil fuel combustion: carbon dioxide|2000|832.6842716
Natural gas and petroleum systems|2000|250.0358668
Other industrial categories|2000|122.7406683
Chemical production and use|2000|73.11064832
Coal mining|2000|77.01580496
Mineral products|2000|61.94607348
Metal production|2000|110.6187413
Production and use of fluorinated gases|2000|48.01644614
Fossil fuel combustion: other greenhouse gases|2000|12.64943879
Fossil fuel combustion: carbon dioxide|2001|827.1011042
Natural gas and petroleum systems|2001|252.4214083
Other industrial categories|2001|120.7080737
Chemical production and use|2001|61.85626583
Coal mining|2001|75.96446986
Mineral products|2001|61.23736132
Metal production|2001|91.65290738
Production and use of fluorinated gases|2001|34.58935489
Fossil fuel combustion: other greenhouse gases|2001|12.98861653
Fossil fuel combustion: carbon dioxide|2002|812.945984
Natural gas and petroleum systems|2002|248.5887773
