REPORTING YEAR|PARENT_COMPANY|GAS|SECTOR|GHG_CONTRIBUTION|2018_UPSTREAM_RANK|2018_MIDSTREAM_RANK|2018_OVERALL_RANK
2011|HILCORP ENERGY|CH4|Midstream|104.50019999999999|1.0|30.0|8.0
2014|HILCORP ENERGY|N2O|Midstream|432.6312|1.0|30.0|8.0
2014|HILCORP ENERGY|CO2|Upstream|594898.0|1.0|30.0|8.0
2014|HILCORP ENERGY|CO2|Midstream|760000.5072999999|1.0|30.0|8.0
2014|HILCORP ENERGY|CH4|Upstream|215286.0|1.0|30.0|8.0
2014|HILCORP ENERGY|CH4|Midstream|13813.6559|1.0|30.0|8.0
2013|HILCORP ENERGY|N2O|Upstream|541.0|1.0|30.0|8.0
2013|HILCORP ENERGY|N2O|Midstream|0.973|1.0|30.0|8.0
2013|HILCORP ENERGY|CO2|Upstream|633911.0|1.0|30.0|8.0
2013|HILCORP ENERGY|CO2|Midstream|1740.8220999999999|1.0|30.0|8.0
2014|HILCORP ENERGY|N2O|Upstream|561.0|1.0|30.0|8.0
2013|HILCORP ENERGY|CH4|Upstream|120813.0|1.0|30.0|8.0
2012|HILCORP ENERGY|N2O|Upstream|267.028|1.0|30.0|8.0
2012|HILCORP ENERGY|N2O|Midstream|0.9451999999999999|1.0|30.0|8.0
2012|HILCORP ENERGY|CO2|Upstream|352006.574|1.0|30.0|8.0
2012|HILCORP ENERGY|CO2|Midstream|1674.4496|1.0|30.0|8.0
2012|HILCORP ENERGY|CH4|Upstream|60356.296|1.0|30.0|8.0
2012|HILCORP ENERGY|CH4|Midstream|64.2597|1.0|30.0|8.0
2011|HILCORP ENERGY|N2O|Upstream|216.14800000000002|1.0|30.0|8.0
2011|HILCORP ENERGY|N2O|Midstream|0.8756999999999999|1.0|30.0|8.0
2011|HILCORP ENERGY|CO2|Upstream|272573.846|1.0|30.0|8.0
2013|HILCORP ENERGY|CH4|Midstream|18.0005|1.0|30.0|8.0
2015|HILCORP ENERGY|CH4|Midstream|13146.24412|1.0|30.0|8.0
2015|HILCORP ENERGY|CH4|Upstream|640199.0|1.0|30.0|8.0
2015|HILCORP ENERGY|CO2|Midstream|922041.90366|1.0|30.0|8.0
2018|HILCORP ENERGY|N2O|Upstream|1495.0|1.0|30.0|8.0
2018|HILCORP ENERGY|N2O|Midstream|598.70788|1.0|30.0|8.0
2018|HILCORP ENERGY|CO2|Upstream|2270081.0|1.0|30.0|8.0
2018|HILCORP ENERGY|CO2|Midstream|1104803.48061|1.0|30.0|8.0
2018|HILCORP ENERGY|CH4|Upstream|3674440.0|1.0|30.0|8.0
2018|HILCORP ENERGY|CH4|Midstream|170763.41478999998|1.0|30.0|8.0
2017|HILCORP ENERGY|N2O|Upstream|1214.0|1.0|30.0|8.0
2017|HILCORP ENERGY|N2O|Midstream|843.88035|1.0|30.0|8.0
2017|HILCORP ENERGY|CO2|Upstream|1877779.0|1.0|30.0|8.0
2017|HILCORP ENERGY|CO2|Midstream|1561212.44015|1.0|30.0|8.0
2017|HILCORP ENERGY|CH4|Upstream|2772991.0|1.0|30.0|8.0
2017|HILCORP ENERGY|CH4|Midstream|209388.10814|1.0|30.0|8.0
2016|HILCORP ENERGY|N2O|Upstream|857.0|1.0|30.0|8.0
2016|HILCORP ENERGY|N2O|Midstream|989.25174|1.0|30.0|8.0
2016|HILCORP ENERGY|CO2|Upstream|1127130.0|1.0|30.0|8.0
2016|HILCORP ENERGY|CO2|Midstream|1652103.20993|1.0|30.0|8.0
2016|HILCORP ENERGY|CH4|Upstream|882805.0|1.0|30.0|8.0
2016|HILCORP ENERGY|CH4|Midstream|195073.86577|1.0|30.0|8.0
2015|HILCORP ENERGY|N2O|Upstream|2779.0|1.0|30.0|8.0
2015|HILCORP ENERGY|N2O|Midstream|651.1849|1.0|30.0|8.0
2015|HILCORP ENERGY|CO2|Upstream|1174096.0|1.0|30.0|8.0
2011|HILCORP ENERGY|CO2|Midstream|1558.7321|1.0|30.0|8.0
2011|HILCORP ENERGY|CH4|Upstream|61646.810000000005|1.0|30.0|8.0
2015|EXXONMOBIL|CH4|Midstream|94334.71783162|2.0|5.0|2.0
2015|EXXONMOBIL|CH4|Upstream|3203167.8977|2.0|5.0|2.0
2015|EXXONMOBIL|N2O|Upstream|7708.2778|2.0|5.0|2.0
2016|EXXONMOBIL|CH4|Midstream|940414.99741956|2.0|5.0|2.0
2016|EXXONMOBIL|CH4|Upstream|2937093.8764|2.0|5.0|2.0
2016|EXXONMOBIL|CO2|Midstream|8720541.51713392|2.0|5.0|2.0
2016|EXXONMOBIL|CO2|Upstream|1951173.0539|2.0|5.0|2.0
2016|EXXONMOBIL|N2O|Midstream|10564.24199395|2.0|5.0|2.0
2016|EXXONMOBIL|N2O|Upstream|5140.357|2.0|5.0|2.0
2017|EXXONMOBIL|CH4|Midstream|914688.90097937|2.0|5.0|2.0
2017|EXXONMOBIL|CH4|Upstream|2822832.635102|2.0|5.0|2.0
2017|EXXONMOBIL|CO2|Midstream|9416013.92812113|2.0|5.0|2.0
2017|EXXONMOBIL|CO2|Upstream|1852446.922717|2.0|5.0|2.0
