|WELL_NAME|LOCATION|COUNTY|FILE|OIL|WATER|DAYS|RUNS|GAS|GAS_SOLD|COMPANY|FORMATION|REPORTED_ON
0|AMBER ELIZABETH 36-25H|SESW  36 151 101|MCK|23615|1949|1734|30|1950|2598|2263|MUREX PETROLEUM CORPORATION|ALEXANDER - BAKKE|2015_04
1|BILL 14-23 2TFH|SWSW  11 151 101|MCK|22021|1421|7328|30|1359|7108|978|STATOIL OIL & GAS LP|ALEXANDER - BAKKE|2015_04
2|BILL 14-23 3H|NWNE  14 151 101|MCK|25091|10655|20203|30|10290|11221|10535|STATOIL OIL & GAS LP|ALEXANDER - BAKKE|2015_04
3|BILL 14-23 4TFH|NWNE  14 151 101|MCK|25645|2604|20561|30|2718|605|568|STATOIL OIL & GAS LP|ALEXANDER - BAKKE|2015_04
4|BILL 14-23 5TFH|NWNE  14 151 101|MCK|25092|837|21359|30|825|87|82|STATOIL OIL & GAS LP|ALEXANDER - BAKKE|2015_04
5|BILL 14-23 6H|NWNE  14 151 101|MCK|25644|6972|14595|30|7133|5274|4951|STATOIL OIL & GAS LP|ALEXANDER - BAKKE|2015_04
6|BILL 14-23 1H|SWSW  11 151 101|MCK|22023|7472|7772|30|7206|18250|5781|STATOIL OIL & GAS LP|ALEXANDER - BAKKE|2015_04
7|PORTER  35-26 #1TFH|SESW  35 151 101|MCK|23319|1489|6226|30|1566|1111|914|STATOIL OIL & GAS LP|ALEXANDER - BAKKE|2015_04
8|PORTER  35-26 #2H|SESW  35 151 101|MCK|23320|1790|2173|30|1831|1732|1593|STATOIL OIL & GAS LP|ALEXANDER - BAKKE|2015_04
9|TIMBER CREEK 13-24 1TFH|NENW  13 151 101|MCK|23302|3193|6102|26|3506|8376|2025|STATOIL OIL & GAS LP|ALEXANDER - BAKKE|2015_04
10|TIMBER CREEK 13-24 2H|NENW  13 151 101|MCK|23301|7557|7753|30|8218|23477|5406|STATOIL OIL & GAS LP|ALEXANDER - BAKKE|2015_04
11|SKEDSVOLD     23-6|SENW  23 151 101|MCK|9132|815|53|28|892|162|0|TAQA NORTH USA, INC.|ALEXANDER - DUPERO|2015_04
12|BOLKEN   24-12|NWSW  24 151 101|MCK|9617|SI|0|0|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2015_04
13|SKEDSVOLD 1|SENE  23 151 101|MCK|8165|148|743|11|0|47|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2015_04
14|SOVIG  25-2|NWNE  25 151 101|MCK|9844|SI|0|0|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2015_04
15|HANSEN 2-23|W2SE  23 151 101|MCK|15670|TA|0|0|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2015_04
