COMPANY,STANDARD_COMPANY_NAME
31 OPERATING,nan
640ENERGY,nan
ABRAXAS PETROLEUM,ABRAXAS PETROLEUM
AEON ENERGY,nan
ALATI ARNEGARD,nan
ALEXANDER SWD,nan
ALTURAS ENERGY,nan
AMERADA HESS,nan
AMERICAN EAGLE ENERGY,AMERICAN EAGLE ENERGY
AMERICAN OIL & GAS,nan
AMINOIL USA,nan
AMOCO PRODUCTION,nan
ANSCHUTZ EXPLORATION,ANSCHUTZ EXPLORATION
ANSCHUTZ OIL COMPANY,nan
APEX ENERGY,nan
APOLLO RESOURCES,nan
AQUA TERRA WATER MANAGEMENT USA,nan
ARMSTRONG OPERATING,nan
ARROW WATER,nan
ARSENAL ENERGY USA,nan
B. D. EVANS OIL,nan
BAKKEN DISPOSAL SERVICES,nan
BAKKEN HUNTER,nan
BALLANTYNE OIL,nan
BALLARD PETROLEUM HOLDINGS,BALLARD PETROLEUM HOLDINGS
BASIC EARTH SCIENCE SYSTEMS,nan
BASIC ENERGY SERVICES,nan
BAYTEX ENERGY USA,BAYTEX ENERGY USA
BEAR PAW ENERGY,nan
BEHM ENERGY,nan
BENNETT SWD,nan
BERENERGY,nan
BERG SPECIALTY FLUIDS-HOLDING,nan
BHP PETROLEUM COMPANY,nan
BIG DISPOSAL CARTWRIGHT,nan
BIG DISPOSAL IRGENS,nan
BIG SKY WELL SERVICE,nan
BLACK GOLD ENERGY RESOURCE DEVELOPMENT,nan
BLACK HAWK RESOURCES,nan
BNN NORTH DAKOTA,nan
BOH,nan
BOREJAKS ENERGY SERVICES,nan
BOSQUE DISPOSAL SYSTEMS,nan
"BOW PETROLEUM, INC. OF COLORADO",nan
BOWERS OIL & GAS,nan
BPI-BOH,nan
BRIGHAM OIL & GAS,nan
BROSCHAT ENGINEERING & MANAGEMENT SERVICES,nan
BRP HOLD 18,nan
BRUIN E&P OPERATING,BRUIN E&P OPERATING
BTA OIL PRODUCERS,nan
BUCKHORN ENERGY SERVICES,nan
BUCKHORN SWD SOLUTIONS,nan
BULLROCK,nan
BURLINGTON RESOURCES OIL & GAS,CONOCOPHILLIPS
BURLINGTON RESOURCES OIL & GAS COMPANY,CONOCOPHILLIPS
BURNETT ENERGY,nan
C & J WELL SERVICES,nan
C12 ENERGY: NORTH DAKOTA,nan
CALIBER MIDSTREAM NORTH DAKOTA,nan
CALIBER MIDSTREAM,nan
CARL H. NORDSTRAND,nan
CCS MIDSTREAM SERVICES,nan
CHALLENGER POINT ENERGY,nan
CHAPARRAL ENERGY,CHAPARRAL ENERGY
CHARGER RESOURCES,nan
CHASE RESOURCES,nan
CHESAPEAKE OPERATING,CHESAPEAKE ENERGY
CIRQUE RESOURCES,nan
CITATION OIL & GAS,CITATION OIL & GAS
CITIES SERVICE OIL,nan
CLEAN ENERGY FLUID SYSTEMS,nan
CLEARLY PETROLEUM,nan
CLINE PRODUCTION,nan
