|REPORT_YEAR|OIL|GAS|WATER|DAYS|RUNS|GAS_SOLD|FLARED|COMPANY
0|2017|7287.0|0.0|778554.0|1204.0|7191.0|0.0|0.0|31 OPERATING
1|2018|90724.0|2708.0|5618626.0|13442.0|90275.0|0.0|2708.0|31 OPERATING
2|2019|80309.0|1553.0|5000921.0|12377.0|81562.0|0.0|1553.0|31 OPERATING
3|2015|0.0|0.0|0.0|0.0|0.0|0.0|0.0|640ENERGY
4|2016|136.0|0.0|0.0|0.0|455.0|0.0|0.0|640ENERGY
5|2017|0.0|0.0|0.0|0.0|0.0|0.0|0.0|640ENERGY
6|2009|129403.0|357647.0|530458.0|11082.0|132674.0|219845.0|0.0|ABRAXAS PETROLEUM
7|2010|126645.0|320333.0|533984.0|10955.0|127301.0|190305.0|0.0|ABRAXAS PETROLEUM
8|2011|201835.0|335005.0|456506.0|9496.0|201557.0|215891.0|0.0|ABRAXAS PETROLEUM
9|2012|184478.0|445957.0|478933.0|10941.0|206246.0|327707.0|0.0|ABRAXAS PETROLEUM
10|2013|762675.0|1352875.0|711539.0|12317.0|758922.0|1225065.0|0.0|ABRAXAS PETROLEUM
11|2014|1548417.0|2730184.0|978685.0|13636.0|1545200.0|2089659.0|0.0|ABRAXAS PETROLEUM
12|2015|1690497.0|3239640.0|1254146.0|14194.0|1689606.0|2187901.0|615862.0|ABRAXAS PETROLEUM
13|2016|1816115.0|4480064.0|1514824.0|15089.0|1812885.0|4119172.0|199940.0|ABRAXAS PETROLEUM
14|2017|1743642.0|5146828.0|1730928.0|16902.0|1768290.0|4792602.0|180011.0|ABRAXAS PETROLEUM
15|2018|2843020.0|8015340.0|2857881.0|17842.0|2830489.0|6122094.0|1655748.0|ABRAXAS PETROLEUM
16|2019|3082367.0|11839206.0|3380979.0|22192.0|3084171.0|8477983.0|3089284.0|ABRAXAS PETROLEUM
17|2009|833.0|0.0|85344.0|225.0|816.0|0.0|0.0|AEON ENERGY
18|2010|770.0|0.0|78098.0|207.0|608.0|0.0|0.0|AEON ENERGY
19|2011|189.0|0.0|21702.0|65.0|428.0|0.0|0.0|AEON ENERGY
20|2012|939.0|0.0|103019.0|263.0|818.0|0.0|0.0|AEON ENERGY
21|2013|1335.0|0.0|161040.0|354.0|1277.0|0.0|0.0|AEON ENERGY
22|2014|843.0|0.0|91360.0|234.0|1020.0|0.0|0.0|AEON ENERGY
23|2015|982.0|0.0|108367.0|328.0|767.0|0.0|0.0|AEON ENERGY
24|2016|1067.0|0.0|117890.0|346.0|1164.0|0.0|0.0|AEON ENERGY
25|2017|1022.0|0.0|117975.0|225.0|1027.0|0.0|0.0|AEON ENERGY
26|2018|1960.0|0.0|224890.0|356.0|1865.0|0.0|0.0|AEON ENERGY
27|2019|1602.0|0.0|196465.0|364.0|1789.0|0.0|0.0|AEON ENERGY
28|2015|4268.0|0.0|0.0|0.0|4436.0|0.0|0.0|ALATI ARNEGARD
29|2016|3652.0|0.0|0.0|0.0|3252.0|0.0|0.0|ALATI ARNEGARD
30|2017|4903.0|0.0|0.0|0.0|5353.0|0.0|0.0|ALATI ARNEGARD
31|2018|4881.0|0.0|0.0|0.0|4586.0|0.0|0.0|ALATI ARNEGARD
32|2019|4492.0|0.0|0.0|0.0|4812.0|0.0|0.0|ALATI ARNEGARD
33|2013|6274.0|0.0|0.0|0.0|6481.0|0.0|0.0|ALEXANDER SWD
34|2014|3381.0|0.0|0.0|0.0|3112.0|0.0|0.0|ALEXANDER SWD
35|2015|1575.0|0.0|0.0|0.0|1392.0|0.0|0.0|ALEXANDER SWD
36|2016|656.0|0.0|0.0|0.0|652.0|0.0|0.0|ALEXANDER SWD
37|2017|1353.0|0.0|0.0|0.0|1359.0|0.0|0.0|ALEXANDER SWD
38|2018|50.0|0.0|0.0|0.0|74.0|0.0|0.0|ALEXANDER SWD
39|2019|0.0|0.0|0.0|0.0|0.0|0.0|0.0|ALEXANDER SWD
40|2010|1843.0|0.0|14001.0|100.0|1749.0|0.0|0.0|ALTURAS ENERGY
41|2011|28060.0|0.0|193145.0|1358.0|27335.0|0.0|0.0|ALTURAS ENERGY
42|2012|20886.0|0.0|176104.0|1124.0|20252.0|0.0|0.0|ALTURAS ENERGY
43|2013|12079.0|0.0|106130.0|730.0|10809.0|0.0|0.0|ALTURAS ENERGY
44|2014|8557.0|0.0|49350.0|464.0|7834.0|0.0|0.0|ALTURAS ENERGY
45|2015|198.0|0.0|1980.0|9.0|231.0|0.0|0.0|ALTURAS ENERGY
46|2009|0.0|1857.0|0.0|0.0|0.0|1797.0|0.0|AMERADA HESS
47|2010|909.0|0.0|7836.0|30.0|0.0|0.0|0.0|AMERADA HESS
48|2013|175.0|0.0|30.0|31.0|225.0|0.0|0.0|AMERADA HESS
49|2014|0.0|0.0|0.0|0.0|0.0|0.0|0.0|AMERADA HESS
50|2015|0.0|0.0|0.0|0.0|0.0|0.0|0.0|AMERADA HESS
51|2016|0.0|0.0|0.0|0.0|0.0|0.0|0.0|AMERADA HESS
