|REPORTING YEAR|COMPANY|GAS|SECTOR|GHG_CONTRIBUTION
0|2017|1804|CH4|Midstream|3818.0
1|2017|1804|CO2|Midstream|19480.0
2|2018|1804|CH4|Midstream|8913.0
3|2018|1804|CO2|Midstream|59969.0
4|2018|1804|N2O|Midstream|24.0
5|2018|ANDEAVOR|CH4|Midstream|4448.0
6|2018|ANDEAVOR|CO2|Midstream|64124.0
7|2018|ANDEAVOR|N2O|Midstream|36.0
8|2017|ANDEAVOR|CH4|Midstream|11079.0
9|2017|ANDEAVOR|CO2|Midstream|60114.0
10|2017|ANDEAVOR|N2O|Midstream|33.0
11|2013|AUX SABLE|CH4|Midstream|1663.0
12|2013|AUX SABLE|CO2|Midstream|28401.0
13|2013|AUX SABLE|N2O|Midstream|30.0
14|2014|AUX SABLE|CH4|Midstream|261.0
15|2014|AUX SABLE|CO2|Midstream|19161.0
16|2014|AUX SABLE|N2O|Midstream|10.0
17|2015|AUX SABLE|CH4|Midstream|212.0
18|2015|AUX SABLE|CO2|Midstream|16184.0
19|2015|AUX SABLE|N2O|Midstream|9.0
20|2016|AUX SABLE|CH4|Midstream|138.0
21|2016|AUX SABLE|CO2|Midstream|12226.0
22|2016|AUX SABLE|N2O|Midstream|7.0
23|2017|AUX SABLE|CH4|Midstream|128.0
24|2017|AUX SABLE|CO2|Midstream|21233.0
25|2017|AUX SABLE|N2O|Midstream|10.0
26|2018|AUX SABLE|CH4|Midstream|74.0
27|2018|AUX SABLE|CO2|Midstream|17036.0
28|2018|AUX SABLE|N2O|Midstream|8.0
29|2015|ENBRIDGE|CH4|Midstream|359.5
30|2015|ENBRIDGE|CO2|Midstream|144950.5
31|2015|ENBRIDGE|N2O|Midstream|81.0
32|2016|ENBRIDGE|CH4|Midstream|176.0
33|2016|ENBRIDGE|CO2|Midstream|143195.5
34|2016|ENBRIDGE|N2O|Midstream|80.5
35|2017|ENBRIDGE|CH4|Midstream|195.5
36|2017|ENBRIDGE|CO2|Midstream|141571.5
37|2017|ENBRIDGE|N2O|Midstream|80.0
38|2018|ENBRIDGE|CH4|Midstream|84.5
39|2018|ENBRIDGE|CO2|Midstream|143118.0
40|2018|ENBRIDGE|N2O|Midstream|80.0
41|2011|ENBRIDGE|CH4|Midstream|972.0
42|2011|ENBRIDGE|CO2|Midstream|135306.0
43|2011|ENBRIDGE|N2O|Midstream|76.0
44|2012|ENBRIDGE|CH4|Midstream|707.5
45|2012|ENBRIDGE|CO2|Midstream|132516.5
46|2012|ENBRIDGE|N2O|Midstream|74.5
47|2013|ENBRIDGE|CH4|Midstream|414.5
48|2013|ENBRIDGE|CO2|Midstream|144011.0
49|2013|ENBRIDGE|N2O|Midstream|81.0
50|2014|ENBRIDGE|CH4|Midstream|211.5
51|2014|ENBRIDGE|CO2|Midstream|148926.5
52|2014|ENBRIDGE|N2O|Midstream|84.0
53|2015|FPL GROUP|CH4|Upstream|126.0
54|2015|FPL GROUP|CO2|Upstream|2942.0
