COMPANY,2011,2012,2013,2014,2015,2016,2017,2018
1804,,,,,,,23298.0,68906.0
31 GROUP,,,,,,,48070.0,47999.0
ABRAXAS PETROLEUM,,,,66927.0,100297.0,34091.0,19235.0,37957.0
ACADIAN GAS PIPELINE SYSTEM,,120684.0,119466.0,107052.0,,,,
ACCESS MIDSTREAM PARTNERS,192493.0,675070.0,453677.0,574389.0,,,,
AETHON ENERGY,,,,,53019.0,505788.0,443414.0,443220.0
AGAVE ENERGY HOLDINGS,,,,,55113.0,83899.0,,
AGL RESOURCES,117621.0,99742.0,110457.0,108121.0,44745.0,61882.0,,
AIRCRAFT SERVICES CORPORATION (GE ENTITY),105075.0,,,,,,,
AKA ENERGY GROUP,243101.0,311730.0,225818.0,239921.0,221770.0,385442.0,254121.0,271445.0
AKIN BEENE RESOURCES,,,,,,49237.0,50124.0,
ALGONQUIN GAS TRANSMISSION,263868.0,273541.0,293837.0,366170.0,,,,
ALL AMERICAN OIL AND GAS,,,167194.0,166695.0,166043.0,172127.0,210291.0,
ALLIANCE PETROLEUM,,,,,,,56721.0,
ALPHA NATURAL RESOURCES,79665.0,78410.0,,,,,,
ALTA MESA SERVICES,176289.0,96266.0,154369.0,215001.0,286282.0,102351.0,93525.0,662323.0
AMERICAN EAGLE ENERGY,,,47357.0,40904.0,18656.0,,,
AMERICAN ENERGY PARTNERS,,,,368545.0,403222.0,,,
AMERICAN MIDSTREAM PARTNERS,,37448.0,42180.0,161310.0,149412.0,148555.0,265973.0,200585.0
AMPLIFY ENERGY,,,,,,,,50260.0
ANADARKO PETROLEUM,4978620.0,4753681.0,4934024.0,4966137.0,4347876.0,7532956.0,5644206.0,5753435.0
ANDEAVOR,,,,,,,685870.0,727512.0
ANDERSON ENERGY,,,6994.0,12044.0,12998.0,,,
ANKOR ENERGY,,37560.0,44731.0,28452.0,42373.0,37850.0,46715.0,35854.0
ANR PIPELINE,,1227978.0,1257781.0,1025194.0,884062.0,705728.0,791197.0,735764.0
ANSCHUTZ EXPLORATION,,,,,,,,50687.0
ANTERO RESOURCES,332787.0,679646.0,526084.0,526429.0,421069.0,848709.0,1266082.0,1445896.0
