REPORTING_YEAR|Value|Key
2011|7008380.5|Combined Production
2012|7497704.666666666|Combined Production
2013|7770173.333333333|Combined Production
2014|8546692.666666668|Combined Production
2015|9032805.5|Combined Production
2016|8762416.0|Combined Production
2017|9050747.0|Combined Production
2018|10283342.833333332|Combined Production
2019|11327953.166666668|Combined Production
2011|2068316.0|Crude Production
2012|2385704.0|Crude Production
2013|2734901.0|Crude Production
2014|3207206.0|Crude Production
2015|3445138.0|Crude Production
2016|3235183.0|Crude Production
2017|3413418.0|Crude Production
2018|4011519.0|Crude Production
2019|4464530.0|Crude Production
2011|4940064.5|Natural Gas Production
2012|5112000.666666666|Natural Gas Production
2013|5035272.333333333|Natural Gas Production
2014|5339486.666666667|Natural Gas Production
2015|5587667.500000001|Natural Gas Production
2016|5527232.999999999|Natural Gas Production
2017|5637329.000000001|Natural Gas Production
2018|6271823.833333333|Natural Gas Production
2019|6863423.166666667|Natural Gas Production
2011|85623293.76926675|Midstream Emission
2011|97431341.37000003|Upstream Emission
2012|86118091.12633479|Midstream Emission
2012|98987226.26600002|Upstream Emission
2013|83772428.76156458|Midstream Emission
2013|104157368.264|Upstream Emission
2014|84306082.62346414|Midstream Emission
2014|107964856.65100001|Upstream Emission
2015|83051484.39579971|Midstream Emission
2015|108151545.4681|Upstream Emission
2016|154971681.75029376|Midstream Emission
2016|91982341.9376|Upstream Emission
2017|158632996.97707963|Midstream Emission
2017|99592678.34490004|Upstream Emission
2018|174393274.77289602|Midstream Emission
2018|115176450.39219998|Upstream Emission
2011|183054635.1392668|Combined Emission
2012|185105317.39233482|Combined Emission
2013|187929797.02556458|Combined Emission
2014|192270939.27446413|Combined Emission
2015|191203029.8638997|Combined Emission
2016|246954023.68789375|Combined Emission
2017|258225675.32197967|Combined Emission
2018|289569725.165096|Combined Emission
