Year,Sector,GHG,mt_CO2e
2018,Midstream,CH4,29532533
2017,Midstream,CH4,29427956
2016,Midstream,CH4,34794829
2015,Midstream,CH4,7936788
2014,Midstream,CH4,8809565
2013,Midstream,CH4,8976612
2012,Midstream,CH4,9110304
2011,Midstream,CH4,8422290
2018,Midstream,CO2,147289478
2017,Midstream,CO2,132533216
2016,Midstream,CO2,130204037
2015,Midstream,CO2,75636593
2014,Midstream,CO2,75786301
2013,Midstream,CO2,75023997
2012,Midstream,CO2,77199315
2011,Midstream,CO2,77486461
2018,Midstream,N2O,76540
2017,Midstream,N2O,68578
2016,Midstream,N2O,81410
2015,Midstream,N2O,39007
2014,Midstream,N2O,36730
2013,Midstream,N2O,36130
2012,Midstream,N2O,40502
2011,Midstream,N2O,57975
2018,Upstream,CH4,46949309
2017,Upstream,CH4,45914698
2016,Upstream,CH4,46145661
2015,Upstream,CH4,48797252
2014,Upstream,CH4,49885333
2013,Upstream,CH4,53302998
2012,Upstream,CH4,55793268
2011,Upstream,CH4,59930584
2018,Upstream,CO2,69883594
2017,Upstream,CO2,56293744
2016,Upstream,CO2,46886419
2015,Upstream,CO2,59940476
2014,Upstream,CO2,58470424
2013,Upstream,CO2,50944941
2012,Upstream,CO2,43271121
2011,Upstream,CO2,38029179
2018,Upstream,N2O,98428
2017,Upstream,N2O,53915
2016,Upstream,N2O,44720
2015,Upstream,N2O,62823
2014,Upstream,N2O,55748
2013,Upstream,N2O,48150
2012,Upstream,N2O,44569
2011,Upstream,N2O,37073
