,REPORTING YEAR,PARENT_COMPANY,GAS,SECTOR,GHG_CONTRIBUTION,2018_UPSTREAM_RANK,2018_MIDSTREAM_RANK,2018_OVERALL_RANK,STANDARD_COMPANY_NAME
4747,2017,CONOCOPHILLIPS,CO2,Midstream,843987,5,16,10,conocophillips
4733,2015,CONOCOPHILLIPS,CH4,Midstream,20098,5,16,10,conocophillips
4734,2015,CONOCOPHILLIPS,CH4,Upstream,3351883.75,5,16,10,conocophillips
4735,2015,CONOCOPHILLIPS,CO2,Midstream,166649,5,16,10,conocophillips
4736,2015,CONOCOPHILLIPS,CO2,Upstream,3046456.5,5,16,10,conocophillips
4737,2015,CONOCOPHILLIPS,N2O,Midstream,94,5,16,10,conocophillips
4756,2018,CONOCOPHILLIPS,N2O,Upstream,1816,5,16,10,conocophillips
4739,2016,CONOCOPHILLIPS,CH4,Midstream,207431,5,16,10,conocophillips
4740,2016,CONOCOPHILLIPS,CH4,Upstream,3519994,5,16,10,conocophillips
4741,2016,CONOCOPHILLIPS,CO2,Midstream,1081017,5,16,10,conocophillips
4746,2017,CONOCOPHILLIPS,CH4,Upstream,1437171.25,5,16,10,conocophillips
4742,2016,CONOCOPHILLIPS,CO2,Upstream,2097991.25,5,16,10,conocophillips
4744,2016,CONOCOPHILLIPS,N2O,Upstream,1455,5,16,10,conocophillips
4755,2018,CONOCOPHILLIPS,N2O,Midstream,476,5,16,10,conocophillips
4754,2018,CONOCOPHILLIPS,CO2,Upstream,2013780,5,16,10,conocophillips
4753,2018,CONOCOPHILLIPS,CO2,Midstream,980514,5,16,10,conocophillips
4752,2018,CONOCOPHILLIPS,CH4,Upstream,1100891.5,5,16,10,conocophillips
4751,2018,CONOCOPHILLIPS,CH4,Midstream,199931,5,16,10,conocophillips
4750,2017,CONOCOPHILLIPS,N2O,Upstream,1513.75,5,16,10,conocophillips
4749,2017,CONOCOPHILLIPS,N2O,Midstream,402,5,16,10,conocophillips
4748,2017,CONOCOPHILLIPS,CO2,Upstream,1638472.25,5,16,10,conocophillips
4743,2016,CONOCOPHILLIPS,N2O,Midstream,524,5,16,10,conocophillips
4745,2017,CONOCOPHILLIPS,CH4,Midstream,197337,5,16,10,conocophillips
4738,2015,CONOCOPHILLIPS,N2O,Upstream,2091,5,16,10,conocophillips
400,2018,CONOCOPHILLIPS,N2O,Midstream,1020.054,5,16,10,conocophillips
401,2018,CONOCOPHILLIPS,N2O,Upstream,2.6288,5,16,10,conocophillips
378,2015,CONOCOPHILLIPS,CH4,Midstream,37182.283,5,16,10,conocophillips
379,2015,CONOCOPHILLIPS,CH4,Upstream,8177.0986,5,16,10,conocophillips
