,REPORTING YEAR,PARENT_COMPANY,GAS,SECTOR,GHG_CONTRIBUTION,2018_UPSTREAM_RANK,2018_MIDSTREAM_RANK,2018_OVERALL_RANK,STANDARD_COMPANY_NAME
4747,2017,CONOCOPHILLIPS,CO2,Midstream,843987.0,5.0,16.0,10.0,conocophillips
4733,2015,CONOCOPHILLIPS,CH4,Midstream,20098.0,5.0,16.0,10.0,conocophillips
4734,2015,CONOCOPHILLIPS,CH4,Upstream,3351883.75,5.0,16.0,10.0,conocophillips
4735,2015,CONOCOPHILLIPS,CO2,Midstream,166649.0,5.0,16.0,10.0,conocophillips
4736,2015,CONOCOPHILLIPS,CO2,Upstream,3046456.5,5.0,16.0,10.0,conocophillips
4737,2015,CONOCOPHILLIPS,N2O,Midstream,94.0,5.0,16.0,10.0,conocophillips
4756,2018,CONOCOPHILLIPS,N2O,Upstream,1816.0,5.0,16.0,10.0,conocophillips
4739,2016,CONOCOPHILLIPS,CH4,Midstream,207431.0,5.0,16.0,10.0,conocophillips
4740,2016,CONOCOPHILLIPS,CH4,Upstream,3519994.0,5.0,16.0,10.0,conocophillips
4741,2016,CONOCOPHILLIPS,CO2,Midstream,1081017.0,5.0,16.0,10.0,conocophillips
4746,2017,CONOCOPHILLIPS,CH4,Upstream,1437171.25,5.0,16.0,10.0,conocophillips
4742,2016,CONOCOPHILLIPS,CO2,Upstream,2097991.25,5.0,16.0,10.0,conocophillips
4744,2016,CONOCOPHILLIPS,N2O,Upstream,1455.0,5.0,16.0,10.0,conocophillips
4755,2018,CONOCOPHILLIPS,N2O,Midstream,476.0,5.0,16.0,10.0,conocophillips
4754,2018,CONOCOPHILLIPS,CO2,Upstream,2013780.0,5.0,16.0,10.0,conocophillips
4753,2018,CONOCOPHILLIPS,CO2,Midstream,980514.0,5.0,16.0,10.0,conocophillips
4752,2018,CONOCOPHILLIPS,CH4,Upstream,1100891.5,5.0,16.0,10.0,conocophillips
4751,2018,CONOCOPHILLIPS,CH4,Midstream,199931.0,5.0,16.0,10.0,conocophillips
4750,2017,CONOCOPHILLIPS,N2O,Upstream,1513.75,5.0,16.0,10.0,conocophillips
4749,2017,CONOCOPHILLIPS,N2O,Midstream,402.0,5.0,16.0,10.0,conocophillips
4748,2017,CONOCOPHILLIPS,CO2,Upstream,1638472.25,5.0,16.0,10.0,conocophillips
4743,2016,CONOCOPHILLIPS,N2O,Midstream,524.0,5.0,16.0,10.0,conocophillips
4745,2017,CONOCOPHILLIPS,CH4,Midstream,197337.0,5.0,16.0,10.0,conocophillips
4738,2015,CONOCOPHILLIPS,N2O,Upstream,2091.0,5.0,16.0,10.0,conocophillips
400,2018,CONOCOPHILLIPS,N2O,Midstream,1020.0540000000001,5.0,16.0,10.0,conocophillips
401,2018,CONOCOPHILLIPS,N2O,Upstream,2.6288,5.0,16.0,10.0,conocophillips
378,2015,CONOCOPHILLIPS,CH4,Midstream,37182.283,5.0,16.0,10.0,conocophillips
379,2015,CONOCOPHILLIPS,CH4,Upstream,8177.0986,5.0,16.0,10.0,conocophillips
380,2015,CONOCOPHILLIPS,CO2,Midstream,2072456.175,5.0,16.0,10.0,conocophillips
381,2015,CONOCOPHILLIPS,CO2,Upstream,18373.3278,5.0,16.0,10.0,conocophillips
383,2015,CONOCOPHILLIPS,N2O,Upstream,14.779999999999998,5.0,16.0,10.0,conocophillips
384,2016,CONOCOPHILLIPS,CH4,Midstream,30161.393000000004,5.0,16.0,10.0,conocophillips
385,2016,CONOCOPHILLIPS,CH4,Upstream,617.5696,5.0,16.0,10.0,conocophillips
386,2016,CONOCOPHILLIPS,CO2,Midstream,2119262.9280000003,5.0,16.0,10.0,conocophillips
387,2016,CONOCOPHILLIPS,CO2,Upstream,7707.84,5.0,16.0,10.0,conocophillips
388,2016,CONOCOPHILLIPS,N2O,Midstream,1080.641,5.0,16.0,10.0,conocophillips
382,2015,CONOCOPHILLIPS,N2O,Midstream,1057.9920000000002,5.0,16.0,10.0,conocophillips
390,2017,CONOCOPHILLIPS,CH4,Midstream,23352.539000000004,5.0,16.0,10.0,conocophillips
389,2016,CONOCOPHILLIPS,N2O,Upstream,7.836799999999999,5.0,16.0,10.0,conocophillips
399,2018,CONOCOPHILLIPS,CO2,Upstream,3986.9471999999996,5.0,16.0,10.0,conocophillips
397,2018,CONOCOPHILLIPS,CH4,Upstream,35.3648,5.0,16.0,10.0,conocophillips
396,2018,CONOCOPHILLIPS,CH4,Midstream,27768.433999999997,5.0,16.0,10.0,conocophillips
398,2018,CONOCOPHILLIPS,CO2,Midstream,2012225.176,5.0,16.0,10.0,conocophillips
394,2017,CONOCOPHILLIPS,N2O,Midstream,1004.259,5.0,16.0,10.0,conocophillips
393,2017,CONOCOPHILLIPS,CO2,Upstream,4780.0512,5.0,16.0,10.0,conocophillips
392,2017,CONOCOPHILLIPS,CO2,Midstream,1995316.5489999999,5.0,16.0,10.0,conocophillips
391,2017,CONOCOPHILLIPS,CH4,Upstream,97.96000000000001,5.0,16.0,10.0,conocophillips
395,2017,CONOCOPHILLIPS,N2O,Upstream,3.4224,5.0,16.0,10.0,conocophillips
346,2011,CONOCO PHILLIPS,CH4,Midstream,27738.154000000002,312.0,279.0,,conoco phillips
347,2011,CONOCO PHILLIPS,CH4,Upstream,55972.30499999999,312.0,279.0,,conoco phillips
348,2011,CONOCO PHILLIPS,CO2,Midstream,2016377.595,312.0,279.0,,conoco phillips
349,2011,CONOCO PHILLIPS,CO2,Upstream,10831.157999999998,312.0,279.0,,conoco phillips
350,2011,CONOCO PHILLIPS,N2O,Midstream,1030.0330000000001,312.0,279.0,,conoco phillips
351,2011,CONOCO PHILLIPS,N2O,Upstream,6.326999999999999,312.0,279.0,,conoco phillips
352,2012,CONOCO PHILLIPS,CH4,Midstream,25072.894,312.0,279.0,,conoco phillips
353,2012,CONOCO PHILLIPS,CH4,Upstream,24523.451999999997,312.0,279.0,,conoco phillips
354,2012,CONOCO PHILLIPS,CO2,Midstream,1895109.932,312.0,279.0,,conoco phillips
355,2012,CONOCO PHILLIPS,CO2,Upstream,23313.662999999997,312.0,279.0,,conoco phillips
356,2012,CONOCO PHILLIPS,N2O,Midstream,963.8700000000001,312.0,279.0,,conoco phillips
357,2012,CONOCO PHILLIPS,N2O,Upstream,26.307,312.0,279.0,,conoco phillips
358,2013,CONOCO PHILLIPS,CH4,Midstream,30565.870000000003,312.0,279.0,,conoco phillips
359,2013,CONOCO PHILLIPS,CH4,Upstream,34962.335999999996,312.0,279.0,,conoco phillips
360,2013,CONOCO PHILLIPS,CO2,Midstream,1974549.787,312.0,279.0,,conoco phillips
361,2013,CONOCO PHILLIPS,CO2,Upstream,13892.759999999998,312.0,279.0,,conoco phillips
362,2013,CONOCO PHILLIPS,N2O,Midstream,1002.8580000000002,312.0,279.0,,conoco phillips
363,2013,CONOCO PHILLIPS,N2O,Upstream,7.991999999999999,312.0,279.0,,conoco phillips
364,2014,CONOCO PHILLIPS,CH4,Midstream,32926.088,312.0,279.0,,conoco phillips
365,2014,CONOCO PHILLIPS,CH4,Upstream,20392.92,312.0,279.0,,conoco phillips
366,2014,CONOCO PHILLIPS,CO2,Midstream,1873788.1890000002,312.0,279.0,,conoco phillips
367,2014,CONOCO PHILLIPS,CO2,Upstream,16010.972999999998,312.0,279.0,,conoco phillips
368,2014,CONOCO PHILLIPS,N2O,Midstream,984.808,312.0,279.0,,conoco phillips
369,2014,CONOCO PHILLIPS,N2O,Upstream,9.323999999999998,312.0,279.0,,conoco phillips
370,2011,CONOCO PHILLIPS GOLDEN PASS HOLDINGS LLC,CH4,Midstream,5064.16,312.0,279.0,,conoco phillips golden pass holdings
371,2011,CONOCO PHILLIPS GOLDEN PASS HOLDINGS LLC,CO2,Midstream,422.84000000000003,312.0,279.0,,conoco phillips golden pass holdings
372,2011,CONOCO PHILLIPS GOLDEN PASS HOLDINGS LLC,N2O,Midstream,0.24800000000000003,312.0,279.0,,conoco phillips golden pass holdings
373,2012,CONOCO PHILLIPS GOLDEN PASS HOLDINGS LLC,CH4,Midstream,4809.464,312.0,279.0,,conoco phillips golden pass holdings
374,2012,CONOCO PHILLIPS GOLDEN PASS HOLDINGS LLC,CO2,Midstream,139.996,312.0,279.0,,conoco phillips golden pass holdings
