Year|month|decimal_date|average_ppb|average_unc|trend_ppb|trend_unc
2019|12|2019.9579999999999|1874.7|-9.9|1872.6|-9.9
2019|11|2019.875|1875.7|-9.9|1871.6|-9.9
2019|10|2019.7920000000001|1875.4|-9.9|1870.6|-9.9
2019|9|2019.7079999999999|1870.4|-9.9|1869.6|-9.9
2019|8|2019.625|1862.3|-9.9|1868.5|-9.9
2019|7|2019.5420000000001|1858.4|-9.9|1867.5|-9.9
2019|6|2019.4579999999999|1859.5|-9.9|1866.5|-9.9
2019|5|2019.375|1862.1|-9.9|1865.5|-9.9
2019|4|2019.2920000000001|1865.2|-9.9|1864.6|-9.9
2019|3|2019.2079999999999|1866.2|-9.9|1863.7|-9.9
2019|2|2019.125|1864.9|-9.9|1862.9|-9.9
2019|1|2019.0420000000001|1864.9|1.0|1862.1|1.0
2018|12|2018.9579999999999|1866.0|1.0|1861.3|1.0
2018|11|2018.875|1866.2|1.2|1860.5|1.0
2018|10|2018.7920000000001|1865.7|1.1|1859.8|0.9
2018|9|2018.7079999999999|1860.4|1.0|1859.1|0.9
2018|8|2018.625|1851.8|1.7|1858.5|0.9
2018|7|2018.5420000000001|1849.0|1.6|1857.8|0.9
2018|6|2018.4579999999999|1852.0|1.6|1857.1|0.9
2018|5|2018.375|1854.8|1.6|1856.4|0.9
2018|4|2018.2920000000001|1856.7|1.1|1855.7|0.9
2018|3|2018.2079999999999|1857.0|0.8|1855.0|0.8
2018|2|2018.125|1855.2|0.8|1854.4|0.8
2018|1|2018.0420000000001|1854.5|0.9|1853.7|0.8
2017|12|2017.9579999999999|1856.6|1.0|1853.0|0.8
2017|11|2017.875|1858.7|1.0|1852.3|0.7
2017|10|2017.7920000000001|1858.1|1.1|1851.6|0.7
2017|9|2017.7079999999999|1852.9|1.1|1851.0|0.7
2017|8|2017.625|1844.8|1.2|1850.3|0.7
2017|7|2017.5420000000001|1840.4|1.3|1849.7|0.7
2017|6|2017.4579999999999|1842.7|0.9|1849.1|0.6
2017|5|2017.375|1846.8|0.9|1848.6|0.6
2017|4|2017.2920000000001|1848.4|1.2|1848.0|0.6
2017|3|2017.2079999999999|1848.4|1.3|1847.5|0.6
2017|2|2017.125|1848.6|1.2|1847.0|0.6
2017|1|2017.0420000000001|1849.7|1.0|1846.6|0.6
2016|12|2016.9579999999999|1851.1|1.2|1846.1|0.6
2016|11|2016.875|1851.5|1.3|1845.6|0.6
2016|10|2016.7920000000001|1850.0|1.2|1845.1|0.7
2016|9|2016.7079999999999|1844.4|1.2|1844.6|0.7
2016|8|2016.625|1836.8|1.0|1844.1|0.7
