Year|month|decimal_date|average_ppm|interpolated_ppm|trend_ppm|num_days
2020|3|2020.2079999999999|414.5|414.5|413.03|26
2020|2|2020.125|414.11|414.11|413.26|28
2020|1|2020.0420000000001|413.4|413.4|413.08|29
2019|12|2019.9579999999999|411.76|411.76|412.44|31
2019|11|2019.875|410.27|410.27|412.27|25
2019|10|2019.7920000000001|408.53|408.53|411.95|30
2019|9|2019.7079999999999|408.54|408.54|412.15|29
2019|8|2019.625|409.94|409.94|411.85|29
2019|7|2019.5420000000001|411.77|411.77|411.42|23
2019|6|2019.4579999999999|413.92|413.92|411.58|27
2019|5|2019.375|414.66|414.66|411.19|28
2019|4|2019.2920000000001|413.32|413.32|410.49|26
2019|3|2019.2079999999999|411.97|411.97|410.5|28
2019|2|2019.125|411.75|411.75|410.9|27
2019|1|2019.0420000000001|410.83|410.83|410.51|27
2018|12|2018.9579999999999|409.07|409.07|409.75|30
2018|11|2018.875|408.02|408.02|410.02|24
2018|10|2018.7920000000001|406.0|406.0|409.42|30
2018|9|2018.7079999999999|405.51|405.51|409.12|29
2018|8|2018.625|406.99|406.99|408.9|30
2018|7|2018.5420000000001|408.71|408.71|408.35|27
2018|6|2018.4579999999999|410.79|410.79|408.45|29
2018|5|2018.375|411.24|411.24|407.77|24
2018|4|2018.2920000000001|410.24|410.24|407.42|21
2018|3|2018.2079999999999|409.41|409.41|407.94|30
2018|2|2018.125|408.32|408.32|407.48|28
2018|1|2018.0420000000001|407.96|407.96|407.64|29
2017|12|2017.9579999999999|406.81|406.81|407.49|31
2017|11|2017.875|405.12|405.12|407.12|26
2017|10|2017.7920000000001|403.63|403.63|407.05|27
2017|9|2017.7079999999999|403.37|403.37|406.98|26
2017|8|2017.625|405.13|405.13|407.04|29
2017|7|2017.5420000000001|407.12|407.12|406.77|28
2017|6|2017.4579999999999|408.88|408.88|406.55|26
2017|5|2017.375|409.69|409.69|406.22|27
2017|4|2017.2920000000001|409.04|409.04|406.22|25
2017|3|2017.2079999999999|407.22|407.22|405.75|23
2017|2|2017.125|406.46|406.46|405.62|26
2017|1|2017.0420000000001|406.17|406.17|405.85|26
2016|12|2016.9579999999999|404.45|404.45|405.14|30
2016|11|2016.875|403.55|403.55|405.56|27
2016|10|2016.7920000000001|401.59|401.59|405.02|29
2016|9|2016.7079999999999|401.05|401.05|404.68|24
2016|8|2016.625|402.27|402.27|404.22|23
2016|7|2016.5420000000001|404.41|404.41|404.05|28
2016|6|2016.4579999999999|406.83|406.83|404.43|26
2016|5|2016.375|407.72|407.72|404.23|29
2016|4|2016.2920000000001|407.45|407.45|404.6|25
2016|3|2016.2079999999999|404.87|404.87|403.37|28
2016|2|2016.125|404.12|404.12|403.3|25
2016|1|2016.0420000000001|402.56|402.56|402.29|27
2015|12|2015.9579999999999|401.85|401.85|402.51|30
2015|11|2015.875|400.16|400.16|402.11|27
2015|10|2015.7920000000001|398.29|398.29|401.69|28
2015|9|2015.7079999999999|397.63|397.63|401.26|25
2015|8|2015.625|398.93|398.93|400.85|28
2015|7|2015.5420000000001|401.31|401.31|400.93|23
2015|6|2015.4579999999999|402.8|402.8|400.48|28
2015|5|2015.375|403.96|403.96|400.51|30
2015|4|2015.2920000000001|403.28|403.28|400.38|27
2015|3|2015.2079999999999|401.54|401.54|400.03|24
2015|2|2015.125|400.28|400.28|399.52|27
2015|1|2015.0420000000001|399.98|399.98|399.73|30
2014|12|2014.9579999999999|398.91|398.91|399.64|29
2014|11|2014.875|397.28|397.28|399.36|27
2014|10|2014.7920000000001|396.03|396.03|399.44|24
2014|9|2014.7079999999999|395.38|395.38|398.97|21
2014|8|2014.625|397.03|397.03|398.92|21
2014|7|2014.5420000000001|399.1|399.1|398.67|25
2014|6|2014.4579999999999|401.25|401.25|398.93|28
2014|5|2014.375|401.78|401.78|398.37|22
2014|4|2014.2920000000001|401.38|401.38|398.49|28
2014|3|2014.2079999999999|399.77|399.77|398.24|24
2014|2|2014.125|398.01|398.01|397.21|26
2014|1|2014.0420000000001|397.85|397.85|397.55|31
2013|12|2013.9579999999999|396.84|396.84|397.59|30
2013|11|2013.875|395.16|395.16|397.15|30
2013|10|2013.7920000000001|393.7|393.7|397.04|28
2013|9|2013.7079999999999|393.45|393.45|396.99|27
2013|8|2013.625|395.2|395.2|397.08|27
2013|7|2013.5420000000001|397.32|397.32|396.92|21
2013|6|2013.4579999999999|398.61|398.61|396.28|26
2013|5|2013.375|399.78|399.78|396.4|28
2013|4|2013.2920000000001|398.41|398.41|395.53|22
2013|3|2013.2079999999999|397.43|397.43|395.84|30
2013|2|2013.125|396.8|396.8|396.01|25
2013|1|2013.0420000000001|395.55|395.55|395.4|28
2012|12|2012.9579999999999|394.34|394.34|395.04|29
2012|11|2012.875|392.98|392.98|395.02|29
2012|10|2012.7920000000001|391.05|391.05|394.41|28
2012|9|2012.7079999999999|391.11|391.11|394.54|27
2012|8|2012.625|392.39|392.39|394.17|30
2012|7|2012.5420000000001|394.36|394.36|393.92|26
2012|6|2012.4579999999999|395.71|395.71|393.45|28
