Year,MMCF,MBOE
2018,468347.0,78057.8
2017,,
2016,230410.0,38401.7
2015,289545.0,48257.5
2014,293916.0,48986.0
2013,260394.0,43399.0
2012,212848.0,35474.7
2011,209439.0,34906.5
2010,165928.0,27654.7
2009,165360.0,27560.0
2008,166909.0,27818.2
2007,143457.0,23909.5
2006,129469.0,21578.2
2005,119097.0,19849.5
2004,96408.0,16068.0
2003,98113.0,16352.2
2002,99178.0,16529.7
2001,96913.0,16152.2
2000,91232.0,15205.3
1999,110285.0,18380.8
1998,103019.0,17169.8
1997,256351.0,42725.2
1996,272117.0,45352.8
1995,283739.0,47289.8
1994,228336.0,38056.0
1993,226743.0,37790.5
1992,167519.0,27919.8
1991,169909.0,28318.2
1990,150415.0,25069.2
1989,141642.0,23607.0
1988,142525.0,23754.2
1987,123707.0,20617.8
1986,97633.0,16272.2
1985,94778.0,15796.3
1984,107913.0,17985.5
1983,94962.0,15827.0
1982,93365.0,15560.8
1981,98017.0,16336.2
1980,125451.0,20908.5
1979,167019.0,27836.5
1978,153350.0,25558.3
1977,136807.0,22801.2
1976,131930.0,21988.3
1975,133913.0,22318.8
1974,169381.0,28230.2
1973,248292.0,41382.0
1972,248119.0,41353.2
1971,284561.0,47426.8
1970,489460.0,81576.7
1969,525750.0,87625.0
1968,516508.0,86084.7
1967,489877.0,81646.2
1966,375695.0,62615.8
1965,319143.0,53190.5
1964,341853.0,56975.5
1963,383408.0,63901.3
1962,425629.0,70938.2
1961,523533.0,87255.5
1960,562877.0,93812.8
1959,571048.0,95174.7
1958,633412.0,105568.7
1957,809148.0,134858.0
1956,864334.0,144055.7
1955,773639.0,128939.8
1954,723567.0,120594.5
1953,810276.0,135046.0
1952,848608.0,141434.7
1951,793186.0,132197.7
1950,801044.0,133507.3
1949,853884.0,142314.0
1948,810178.0,135029.7
1947,1067938.0,177989.7
1946,1102033.0,183672.2
1945,896208.0,149368.0
1944,1010285.0,168380.8
1943,684115.0,114019.2
1942,626782.0,104463.7
1941,630212.0,105035.3
1940,655967.0,109327.8
1939,677311.0,112885.2
1938,649106.0,108184.3
1937,526159.0,87693.2
1936,392528.0,65421.3
