Year,MBBLS
2019,4464808.0
2018,4011521.0
2017,3413417.0
2016,3235183.0
2015,3445138.0
2014,3207209.0
2013,2734901.0
2012,2385703.0
2011,2068316.0
2010,2001756.0
2009,1955194.0
2008,1829880.0
2007,1851974.0
2006,1856340.0
2005,1892095.0
2004,1991394.0
2003,2061995.0
2002,2096588.0
2001,2117511.0
2000,2130707.0
1999,2146732.0
1998,2281919.0
1997,2354831.0
1996,2366017.0
1995,2394268.0
1994,2431476.0
1993,2499033.0
1992,2624632.0
1991,2707039.0
1990,2684687.0
1989,2778773.0
1988,2979123.0
1987,3047378.0
1986,3168252.0
1985,3274553.0
1984,3249696.0
1983,3170999.0
1982,3156715.0
1981,3128624.0
1980,3146365.0
1979,3121310.0
1978,3178216.0
1977,3009265.0
1976,2976180.0
1975,3056779.0
1974,3202585.0
1973,3360903.0
1972,3455368.0
1971,3453914.0
1970,3517450.0
1969,3371751.0
1968,3329042.0
1967,3215742.0
1966,3027763.0
1965,2848514.0
1964,2786822.0
1963,2752723.0
1962,2676189.0
1961,2621758.0
1960,2574933.0
1959,2574590.0
1958,2448987.0
1957,2616901.0
1956,2617283.0
1955,2484428.0
1954,2314988.0
1953,2357082.0
1952,2289836.0
1951,2247711.0
1950,1973574.0
1949,1841940.0
1948,2020185.0
1947,1856987.0
1946,1733424.0
1945,1713655.0
1944,1677904.0
1943,1505613.0
1942,1385479.0
1941,1404182.0
1940,1503176.0
1939,1264256.0
1938,1213254.0
1937,1277653.0
1936,1098513.0
1935,993942.0
1934,908065.0
1933,905656.0
1932,785159.0
1931,851081.0
1930,898011.0
1929,1007323.0
1928,901474.0
1927,901129.0
1926,770874.0
1925,620373.0
1924,713940.0
1923,732407.0
1922,557531.0
1921,472183.0
1920,442929.0
1919,378367.0
1918,355928.0
1917,335316.0
1916,300767.0
1915,281104.0
1914,265763.0
1913,248446.0
1912,222935.0
1911,220449.0
1910,209557.0
1909,183171.0
1908,178527.0
1907,166095.0
1906,126494.0
1905,134717.0
1904,117081.0
1903,100461.0
1902,88767.0
1901,69389.0
1900,63621.0
1899,57071.0
1898,55364.0
1897,60476.0
1896,60960.0
1895,52892.0
1894,49344.0
1893,48431.0
1892,50515.0
1891,54293.0
1890,45824.0
1889,35164.0
1888,27612.0
1887,28283.0
1886,28065.0
1885,21859.0
1884,24218.0
1883,23450.0
1882,30350.0
1881,27661.0
1880,26286.0
1879,19914.0
1878,15397.0
1877,13350.0
1876,9133.0
1875,12163.0
1874,10927.0
1873,9894.0
1872,6293.0
1871,5205.0
1870,5261.0
1869,4215.0
1868,3646.0
1867,3347.0
1866,3598.0
1865,2498.0
1864,2116.0
1863,2611.0
1862,3057.0
1861,2114.0
1860,500.0
1859,2.0
