Year|mmt_CO2
2017|993.786965
2016|968.546972
2015|974.001416
2014|988.493963
2013|984.991344
2012|956.27326
2011|944.930622
2010|940.85347
2009|859.462142
2008|970.962101
2007|1012.544171
2006|1020.683598
2005|1013.708645
2004|1057.969796
2003|1034.958
2002|1039.637338
2001|1052.873413
2000|1086.240564
1999|1082.733667
1998|1115.183666
1997|1163.831454
1996|1149.657984
1995|1116.565545
1994|1104.905789
1993|1085.491917
1992|1087.545623
1991|1051.996135
1990|1079.404654
1989|1054.221809
1988|1052.552918
1987|998.40543
1986|970.401356
1985|995.666866
1984|1043.743777
1983|952.57514
1982|1000.25875
1981|1144.074754
1980|1233.703009
