Year,MMCF
2019-01-01,40694759.0
2018-01-01,37129374.0
2017-01-01,33292113.0
2016-01-01,32591578.0
2015-01-01,32914647.0
2014-01-01,31405381.0
2013-01-01,29522551.0
2012-01-01,29542313.0
2011-01-01,28479026.0
2010-01-01,26816085.0
2009-01-01,26056893.0
2008-01-01,25636257.0
2007-01-01,24663656.0
2006-01-01,23535018.0
2005-01-01,23456822.0
2004-01-01,23969678.0
2003-01-01,24118978.0
2002-01-01,23941279.0
2001-01-01,24500779.0
2000-01-01,24173875.0
1999-01-01,23822711.0
1998-01-01,24108128.0
1997-01-01,24212677.0
1996-01-01,24113536.0
1995-01-01,23743628.0
1994-01-01,23580706.0
1993-01-01,22725642.0
1992-01-01,22132249.0
1991-01-01,21750108.0
1990-01-01,21522622.0
1989-01-01,21074425.0
1988-01-01,20999255.0
1987-01-01,20140200.0
1986-01-01,19130711.0
1985-01-01,19606699.0
1984-01-01,20266522.0
1983-01-01,18659046.0
1982-01-01,20272254.0
1981-01-01,21587453.0
1980-01-01,21869692.0
1979-01-01,21883353.0
1978-01-01,21308815.0
1977-01-01,21097071.0
1976-01-01,20943778.0
1975-01-01,21103530.0
1974-01-01,22849793.0
1973-01-01,24067202.0
1972-01-01,24016109.0
1971-01-01,24088031.0
1970-01-01,23786453.0
1969-01-01,22679195.0
1968-01-01,21325000.0
1967-01-01,20251776.0
1966-01-01,19033839.0
1965-01-01,17963100.0
1964-01-01,17535553.0
1963-01-01,16973368.0
1962-01-01,16038973.0
1961-01-01,15460312.0
1960-01-01,15087911.0
1959-01-01,14229272.0
1958-01-01,13146635.0
1957-01-01,12906669.0
1956-01-01,12372905.0
1955-01-01,11719794.0
1954-01-01,10984850.0
1953-01-01,10645798.0
1952-01-01,10272566.0
1951-01-01,9689372.0
1950-01-01,8479650.0
1949-01-01,7546825.0
1948-01-01,7178777.0
1947-01-01,6733230.0
1946-01-01,6293037.0
1945-01-01,6000161.0
1944-01-01,5708288.0
1943-01-01,5024449.0
1942-01-01,4525095.0
1941-01-01,4168116.0
1940-01-01,3752702.0
1939-01-01,3387095.0
1938-01-01,3108858.0
1937-01-01,3084567.0
1936-01-01,2691512.0
