Year|mmt_CO2
2017|1487.751178
2016|1505.97207
2015|1494.870856
2014|1452.23261
2013|1421.55713
2012|1384.126865
2011|1324.63536
2010|1304.49545
2009|1244.172003
2008|1265.641799
2007|1257.032545
2006|1180.55044
2005|1197.880305
2004|1216.576658
2003|1211.469057
2002|1248.032948
2001|1208.387314
2000|1264.958654
1999|1218.228241
1998|1217.55297
1997|1242.168424
1996|1230.826971
1995|1208.130502
1994|1157.172918
1993|1131.227954
1992|1103.018747
1991|1066.19292
1990|1045.299429
1989|1043.379332
1988|982.500081
1987|939.514555
1986|884.90834
1985|944.516797
1984|979.452725
1983|918.337059
1982|980.220426
1981|1054.822954
1980|1078.961049
