Year|mmt_CO2
2017|2358.303907
2016|2339.574284
2015|2315.089236
2014|2269.261121
2013|2245.773111
2012|2203.21337
2011|2263.908163
2010|2307.248979
2009|2270.519998
2008|2405.014475
2007|2574.937499
2006|2586.15495
2005|2615.131236
2004|2599.400667
2003|2515.187119
2002|2465.22533
2001|2465.975894
2000|2458.654258
1999|2415.616244
1998|2369.725527
1997|2331.12937
1996|2301.649115
1995|2221.305078
1994|2231.2191
1993|2187.024827
1992|2170.857294
1991|2137.360133
1990|2186.905034
1989|2241.399596
1988|2241.170133
1987|2141.42665
1986|2117.04094
1985|2026.186593
1984|2041.729184
1983|1991.337313
1982|2007.802289
1981|2129.505799
1980|2291.393128
